host.id,tree.id,xcoord,tips,reads,subgraphs,clades,overall.rtt,largest.rtt,max.branch.length,max.pat.distance,global.mean.pat.distance,subgraph.mean.pat.distance,normalised.overall.rtt,normalised.largest.rtt,normalised.max.branch.length,normalised.max.pat.distance,normalised.global.mean.pat.distance,normalised.subgraph.mean.pat.distance,solo.dual.count,prop.gp.1,prop.gp.2,prop.gp.3,prop.gp.4,prop.gp.5,prop.gp.6,prop.gp.7,prop.gp.8,prop.gp.9,prop.gp.10,prop.gp.11,prop.gp.12,prop.gp.13,prop.gp.14,prop.gp.15,prop.gp.16,prop.gp.17,prop.gp.18,prop.gp.19,prop.gp.20,prop.gp.21,prop.gp.22,prop.gp.23,prop.gp.24,prop.gp.25,prop.gp.26,prop.gp.27,prop.gp.28,prop.gp.29,prop.gp.30,prop.gp.31,prop.gp.32
200703_20-07825_HIV09-00618_FL18_S6_L000,1060_to_1310,1185,375,3244,1,240,0.00529432482987053,0.00529432482987053,0.0084707122,0.037528438899999995,0.011607708614528343,0.011607708614528343,0.004474908660710152,0.004474908660710152,0.007159678448949666,0.031720066609635764,0.009811153920342845,0.009811153920342845,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1060_to_1310,1185,504,2989,1,1,0.01030324131569085,0.01030324131569085,0.0175312683,0.0476429454,0.015975802333472972,0.015975802333472972,0.008708582355363174,0.008708582355363174,0.014817909151755203,0.04026912511853084,0.01350318662362844,0.01350318662362844,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1060_to_1310,1185,673,2233,1,2,0.035863977930362695,0.035863977930362695,0.07537806550000001,0.11243515850000002,0.019221066948716656,0.019221066948716656,0.03031321851327026,0.03031321851327026,0.06371160987902132,0.09503328199684201,0.016246173349927454,0.016246173349927454,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1060_to_1310,1185,635,1950,1,1,0.01455978824235899,0.01455978824235899,0.021691742000000003,0.061826626399999994,0.021931414538680045,0.021931414538680045,0.012306332648167223,0.012306332648167223,0.018334455716436257,0.052257561602357644,0.018537033524473764,0.018537033524473764,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1060_to_1310,1185,593,2590,1,1,0.02970574228563708,0.02970574228563708,0.0177186456,0.0903978191,0.03265677811357504,0.03265677811357504,0.02510810871989354,0.02510810871989354,0.014976285588701363,0.07640671787223753,0.027602405199399216,0.027602405199399216,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1070_to_1320,1195,386,3434,1,1,0.00530771988675015,0.00530771988675015,0.0086838927,0.0342543674,0.011570945093538792,0.011570945093538792,0.004520643503467156,0.004520643503467156,0.007396167084299035,0.029174822099928287,0.009855101414952196,0.009855101414952196,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1070_to_1320,1195,513,3163,1,1,0.0029565366010749286,0.0029565366010749286,0.0181953548,0.0510060991,0.01568286348782438,0.01568286348782438,0.002518114795729309,0.002518114795729309,0.01549718414403053,0.043442456545083136,0.0133572676129683,0.0133572676129683,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1070_to_1320,1195,650,2289,1,1,0.014239891971384887,0.014239891971384887,0.0171076185,0.0785791647,0.021575663437692544,0.021575663437692544,0.012128272874989693,0.012128272874989693,0.01457074715357149,0.06692674029307763,0.01837623025210523,0.01837623025210523,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08522_HIV11-02415_FL24_S18_L000,1070_to_1320,1195,660,2090,1,1,0.024886028104210544,0.024886028104210544,0.0224968881,0.0702611159,0.0267146748822095,0.0267146748822095,0.021195704309347668,0.021195704309347668,0.019160847446258598,0.05984216648896406,0.022753182916636926,0.022753182916636926,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200814_20-09728_HIV09-02843_FL30_S2_L000,1070_to_1320,1195,625,2784,1,1,0.03317692157320405,0.03317692157320405,0.0136570721,0.11111600560000001,0.042177479308762054,0.042177479308762054,0.02825714961886878,0.02825714961886878,0.011631878769519885,0.09463872615071665,0.035923023802697324,0.035923023802697324,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200703_20-07825_HIV09-00618_FL18_S6_L000,1080_to_1330,1205,372,3311,1,1,0.005482202656810627,0.005482202656810627,0.0131712085,0.039448698899999995,0.012146015805595165,0.012146015805595165,0.004711499394566584,0.004711499394566584,0.011319563459837978,0.033902891341108944,0.010438495199254463,0.010438495199254463,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200709_20-07994_HIV07-01067_FL21_S1_L000,1080_to_1330,1205,482,3066,1,1,0.007506852501435093,0.007506852501435093,0.0186825439,0.072974087000000007,0.016539426204172668,0.016539426204172668,0.0064515183457644,0.0064515183457644,0.016056100035714938,0.06271518735127742,0.014214267772576804,0.014214267772576804,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
200724_20-08518_HIV10-02405_FL24_S14_L000,1080_to_1330,1205,644,2264,1,1,0.02237863344606888,0.02237863344606888,0.0175651415,0.0688596487,0.020997387973252804,0.020997387973252804,0.019232583056993543,0.019232583056993543,0.015095785165824657,0.059179168204785436,0.018045516905610737,0.018045516905610737,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
